	Tweets	Date	Source	Likes	RTs
177	Stan Lee’s Cause of Death has been Revealed https://t.co/Gr9Xp6TTXP https://t.co/i3uUbhKyO3	2018-11-28 15:32:36	WordPress.com	0	0
178	@RedstonerLabs I mean, Stan Lee was another great guy too.	2018-11-28 15:32:00	Twitter Web Client	0	0
179	@adamkovic The fight to get Stan Lee back	2018-11-28 15:31:43	Twitter for iPhone	7	0
180	@zashu Stan Lee lived a full life and changed the world.	2018-11-28 15:31:05	Twitter Lite	0	0
181	Stan Lee - 11 Facts You Didn?t Know About #Marvel https://t.co/mLzmEf2K6X https://t.co/KcSFua11YN	2018-11-28 15:30:22	SocialOomph	0	0
182	Stan Lee (RIP) Gets an Exuberant Fan Letter from 15-Year-Old George R.R. Martin, 1963 https://t.co/AaQecJJnIF https://t.co/QDXakmsPdg	2018-11-28 15:30:19	Buffer	0	0
183	@TheFunkoDude @TweetacularMatt @DisFunko I have not a single Stan Lee POP and I will not start even though I love t… https://t.co/ZoaFW76sPd	2018-11-28 15:30:13	Twitter for iPhone	0	0
184	@VancityReynolds take over Stan Lee cameos please @Marvel @Disney	2018-11-28 15:29:36	Twitter for iPhone	0	0
185	"I demand Spider-Man: Into the Spider-Verse win Best Animated movie at the Oscars because 

1) sounds like it should… https://t.co/jQEt7bgK8a"	2018-11-28 15:29:31	Twitter for iPhone	0	0
186	"2018 is apparently the year my childhood dies. First Stefan Karl, then Stan Lee and now Stephen Hillenburg...

I'm… https://t.co/SmJ54rE0s2"	2018-11-28 15:29:24	Twitter for iPhone	0	0
187	@mrbromwich How about a triple-agent? What if someone mega-confusing who promotes Stan Lee tools is a triple-impost… https://t.co/UbKZcaZdj8	2018-11-28 15:29:09	Twitter Web Client	0	0
188	@FistoftheMFK lol in context this is about kent shitting on Elton John for cancling a show due to health reason at… https://t.co/AOSMMlQVpf	2018-11-28 15:28:58	Twitter for Android	0	0
189	the a4 trailer will drop on stan lee’s birthday 28th december you’ve heard it here first	2018-11-28 15:27:37	Twitter for iPhone	4	0
190	@e6entric @adrianfaustt I like how you think Stan Lee was the creator of Marvel	2018-11-28 15:27:36	Twitter for iPhone	0	0
191	Mac Miller, Stan Lee, and Stephen Hillenburg(guy who created spongebob)  are all gone in one semester...Crazy.	2018-11-28 15:27:36	Twitter for iPhone	0	0
192	A month ago we lost Stan lee now we lost Stephen Hillenburg :( 💔the creator of sponge bob https://t.co/6bRfzomXfJ	2018-11-28 15:27:19	Twitter for iPhone	2	0
193	@Leester37 @TheMarvelvsDC Didn't stop Stan Lee from making a gratuitous cameo in Deadpool's first movie.	2018-11-28 15:27:07	Twitter for Android	1	0
194	Marvel Comics Creator Stan Lee's Cause of Death Revealed In Newly Obtained Death Certificate https://t.co/ykmHBmWcKq	2018-11-28 15:27:01	Twitter for Android	0	0
195	Stan Lee Presents Unknown Worlds Of Science Fiction #2 VG/F https://t.co/Z1xk2aB7Ia https://t.co/e9e5fk69Bo	2018-11-28 15:25:57	Twibble.io	0	0
196	Stan Lee's cause of death revealed https://t.co/uwxEQmsD6s	2018-11-28 15:25:44	Facebook	0	0
197	"This year, we have lost:

My grandpa

Stephen Hawking

Stefan Karl

Stan Lee

And now,  Stephen Hillenburg

This is… https://t.co/N6DjzgsXyK"	2018-11-28 15:25:27	Twitter for Android	8	0
198	GUYS THIS IS LEE DAHEE AN ACTRESS SHE SAID it's an honour to see great artists &lt;LIKE MAMAMOO&gt; perform live-- we sta… https://t.co/ut3y8aL7v8	2018-11-28 15:24:12	Twitter for iPhone	1	0
199	I miss Stan Lee and Stephen Hillenburg.	2018-11-28 15:23:51	Twitter for iPhone	5	1
200	@KirstenAcuna any stan lee cameo? :(	2018-11-28 15:23:29	Twitter Web Client	0	0
201	The fact that Stan Lee died in November and it’s still NOVEMBER??? This year is so fucking weird b. https://t.co/pBGbrA02T3	2018-11-28 15:22:02	Twitter for iPhone	1	0
202	Marvel 1st Indian Superhero Chakra the Invincible created by Stan lee Origin story |Expain in Hindi|: https://t.co/jbQIM2IVck via	2018-11-28 15:20:12	Google	0	0
203	Who is Stan lee?	2018-11-28 15:20:10	Twitter for iPhone	0	0
204	First Stan Lee, now the one and only father of Spongebob... Such great people's existence end here on Earth. Legends.	2018-11-28 15:20:05	Twitter Web Client	0	0
205	Stan Lee's cause of death confirmed 2 weeks after passing at 95 https://t.co/Eb3WHDE9Y4	2018-11-28 15:19:02	Facebook	0	0
206	Bro I swear it’s only been A WEEK since Stan Lee died😕 my heart really gonna give up soon https://t.co/Wj5YU7whga	2018-11-28 15:18:51	Twitter for iPhone	1	0
207	"my dad just burst into my room yelling, ""what was stan lee's cause of death?"" and when i answered bewilderedly he p… https://t.co/Y8ipX46NPF"	2018-11-28 15:18:20	TweetDeck	0	0
208	So I was walking to class when I thought that : “what if the avengers 4 trailer drops on December 22 in honor of St… https://t.co/UvKK1lGAo7	2018-11-28 15:18:09	Twitter for iPhone	0	0
209	First Stan Lee then Stephen Hillenburg!!! We gotta protect Dr. Suess!!	2018-11-28 15:18:00	Twitter for iPhone	7	0
210	Opinion: Does Bill Maher Have a Point? Analysis on the Stan Lee Backlash https://t.co/zmRbEw7cyJ https://t.co/IPVhk8ch4c	2018-11-28 15:17:21	WordPress.com	1	0
211	Damn first Stan Lee and now Stephen Hillenburg?! Who tf else?	2018-11-28 15:16:41	Twitter for iPhone	1	0
212	I liked a @YouTube video https://t.co/XWw9LmcC18 Stan Lee &amp; Mark Hamill Hang Out! | Marvel's Avengers: Black Panther's Quest	2018-11-28 15:16:41	Google	0	0
213	Losing Stan Lee and Stephen Hillenburg in one month is too painful	2018-11-28 15:16:04	Twitter Web Client	0	0
214	Stan Lee's death certificate confirms heart, respiratory failure https://t.co/rgsaXZXnTF	2018-11-28 15:15:46	Sprout Social	0	1
215	"So... First Stefan Karl Steffanson, then, Stan Lee, and now, Stephen. Hillenburg. 

2018 is the year to cry."	2018-11-28 15:15:06	Twitter for iPhone	4	0
216	Last time the world lost Stan Lee, and now one of the legends is gone forever. Thanks Stephen, because of Spongebob… https://t.co/HND3Yye4vy	2018-11-28 15:14:35	Twitter Lite	0	0
217	Stan Lee cause of death revealed: Old	2018-11-28 15:14:19	Twitter Lite	1	0
218	The Sun Glass of the great Stan Lee https://t.co/wcyLOCI0Bt	2018-11-28 15:14:17	Twitter for Android	0	0
219	Stan Lee's cause of death revealed - Yahoo Entertainment https://t.co/F3owVPhFYi via @GoogleNews	2018-11-28 15:13:48	Twitter Web Client	0	0
220	I liked a @YouTube video https://t.co/w61BNrIwb0 Ron Perlman in Studio; We Remember Stan Lee - Collider Live #36	2018-11-28 15:13:41	Google	0	0
221	"Unfortunately General Practitioners are rarely scientists or investigators  so ... 
family Stan Lee Was Reportedly… https://t.co/lWBfcBsynM"	2018-11-28 15:13:19	Twitter for Android	0	0
222	"2018 has been a shitty Year

Steffen Karl Steffanson, Big Nibba, Stan Lee, and Stephen Hillenburg passed away."	2018-11-28 15:13:09	Twitter for Android	0	0
223	Worst thing that happened to me in 2018 was Stan Lee died.  Best things that happened to me in 2018, Black Panther… https://t.co/Of7Kmn6iTG	2018-11-28 15:12:59	Twitter for iPhone	0	0
224	@officialzak23 The nigga who made spongebob died, and Stan lee died. How tf do you say X before these niggas. Shame	2018-11-28 15:12:04	Twitter for iPhone	0	0
225	What Entrepreneurs Can Learn From Marvel Master Stan Lee https://t.co/8lrH7o3bxc	2018-11-28 15:11:08	Crowdfire - Go Big	1	0
226	@Nickelodeon RIP. He's now with Stan Lee, two men who's created childhood memories for ages to come ❤	2018-11-28 15:10:53	Twitter for Android	0	0
227	First Stan Lee now him! Rip! You will be missed! https://t.co/mCgHlo5TfX (https://t.co/YTXNc7S01L)	2018-11-28 15:10:01	ImgurViral	0	0
228	Stan Lee’s Cause of Death Revealed – E! Online https://t.co/Fbw9JAsKM0	2018-11-28 15:09:44	WordPress.com	0	0
229	After Stan Lee. Now it’s Stephen Hillenburg. I almost lost my childhood! Huhuhu. RIP Stephen Hillenburg https://t.co/9vXRbPXNkO	2018-11-28 15:09:41	Twitter for iPhone	0	0
230	Win autograph of stan lee https://t.co/N2PYuYuFZS	2018-11-28 15:09:11	Facebook	0	0
231	What childhood dream have you not had the chance to fulfill? — honestly meeting stan lee..he was one of my biggest… https://t.co/1Wjdnjjvvp	2018-11-28 15:07:25	Curious Cat	1	0
232	@Nickelodeon First Stan Lee and now Hillenbrug	2018-11-28 15:06:54	Twitter for iPhone	1	0
233	@jazzemu_ Thank you for this. I’m so over all of these jokes but you were able to give them all life one last time.… https://t.co/vPkITgckzH	2018-11-28 15:06:54	Twitter for iPhone	0	0
234	"Stan lee is gone
The creator of Spongebob is gone
Its our job to make sure tht generations to come dont forget abou… https://t.co/3VVeJQKtYE"	2018-11-28 15:06:27	Twitter for iPhone	0	0
235	@Atary77 Yeah I'm more sad about Stan Lee	2018-11-28 15:05:48	Twitter for Android	0	0
236	This is worse than Stan Lee https://t.co/J8kgWCPxIq	2018-11-28 15:05:08	Twitter for iPhone	0	0
237	@NintenZ Stan Lee	2018-11-28 15:04:38	Twitter for iPhone	1	0
238	Stan Lee’s Cause of Death Revealed: Cardiac Arrest, Respiratory and Congestive Heart Failure – … https://t.co/Tboe0BiMaw	2018-11-28 15:03:29	WordPress.com	0	0
239	@in_the__cut Right after Stan Lee just died. wow insensitive	2018-11-28 15:03:15	Twitter for iPhone	0	0
240	@IGN Stan Lee dies and immediately with this garbage.... he was the nicest awesome guy so I doubt he would have com… https://t.co/MAi9GQ9iIj	2018-11-28 15:02:54	Twitter Lite	0	0
241	The US government tried to kill the comic-book industry. A puritanical Congress targeted comics during the post-war… https://t.co/Rp4M3DjAGx	2018-11-28 15:02:04	Hootsuite Inc.	0	0
242	The recent death of comic book legend Stan Lee is a stark illustration of how the lack of an #estate plan can jeopa… https://t.co/VaSyHyHmne	2018-11-28 15:01:59	Social Media Publisher App 	0	0
243	"@WeeboJones Ya' know, if I had just finished a PC build, I'd have called it ""Excelsior!"" in honour of Stan lee, but Frankie is cool too."	2018-11-28 15:01:46	Twitter Web Client	4	0
244	UW holds tight to Stan Lee collection https://t.co/hxzZDOKwqw https://t.co/8y6JQ9ASjw	2018-11-28 15:01:45	WordPress.com	0	0
245	"@jakebakersays @lord_mcu I mean...he got the ""Stan Lee Special!"" With the 2 lines on the side!!! LMAO!!😂 https://t.co/cPq0ZZT0e7"	2018-11-28 15:01:36	Twitter Web Client	0	0
246	RIP Stan Lee! https://t.co/OJh5geIYOS	2018-11-28 15:01:00	Sprout Social	0	0
247	Fan Cam | Jake - Honoring Stan Lee: https://t.co/6hI3k91ArU via @YouTube	2018-11-28 15:00:26	Google	0	0
248	'Nuff Said: A Stan Lee Obituary #Marvel #MCU #Obituary #Spider-Man #StanLee #Superheroes https://t.co/s9Wf6A0Xrt https://t.co/aGBO3R54Uq	2018-11-28 15:00:23	WordPress.com	0	0
249	"Man, 2018 has been one hell of a year.

Stefan Karl
Stephen Hawking
Stan Lee
Stephen Hillenberg

So many people who… https://t.co/GkOd5oQ0MB"	2018-11-28 15:00:17	Twitter for Android	0	0
250	Stan Lee in photos: The life and times of the most legendary man in comics https://t.co/rh8s9g7xZO	2018-11-28 15:00:11	Crowdfire - Go Big	0	0
251	Please listen to this @EthanVanSciver , after 90 seconds I had chills. Akira has also collabed with future Canadian… https://t.co/W6Oe4lb4lq	2018-11-28 14:59:24	Twitter for iPhone	0	0
252	Watching Venom and seeing one of the last Stan Lee cameo made my heart hurt	2018-11-28 14:57:31	Twitter for iPhone	0	0
253	You're going to have to see this one twice to catch many of the Easter eggs and you'll want to prepare yourself for… https://t.co/rpdrggZLgt	2018-11-28 14:57:05	Twitter Web Client	1	0
254	"Marvel boss: Okay, we're going to have a female clone of Wolverine. What should we call her?
Stan Lee: How about Sh… https://t.co/rdmjnwkXf2"	2018-11-28 14:55:49	Twitter Web Client	0	0
255	I still can’t believe Stan Lee is dead.	2018-11-28 14:55:28	Twitter for iPhone	0	0
256	I am so mad at Stan Lee passed away I think my purpose for living is almost up	2018-11-28 14:55:23	Twitter for Android	0	0
257	Pawn Stars: Original Incredible Hulk Issues #1-6, Signed by Stan Lee (Se... https://t.co/qr0CckhFWQ via @YouTube	2018-11-28 14:55:21	Twitter Web Client	0	0
258	3 pieces of priceless advice for achieving #success in business and life from #Marvel Comics legend #StanLee .… https://t.co/3k9jRx0DYp	2018-11-28 14:55:20	Facebook	0	0
259	@cracksh0t Stan Lee and Stan Lee.	2018-11-28 14:54:39	Twitter Lite	0	0
260	@Redpainter1 date myself, I got 3 comic books when sick, stan lee comics in the 60's,,, but I read the crap out of mine, used not mildly	2018-11-28 14:53:36	Twitter Web Client	0	0
261	Stan lee's family https://t.co/rw6rDgoNTc	2018-11-28 14:53:12	Twitter for Android	0	0
262	In listening to the @2gnc show this morning I wonder if @ckelly2gnc lost fantasy football because he doesn’t play v… https://t.co/7QjvIrw13B	2018-11-28 14:52:24	Twitter for iPhone	0	0
263	and stan lee too	2018-11-28 14:52:03	Twitter for iPhone	0	0
264	@differengenera @jaynonamebe Stan lee invented racism just so he could teach it to these nerds. Iconic.	2018-11-28 14:51:29	Twitter for iPhone	0	0
265	"GXW - EPISODE 172 - REMEMBERING STAN LEE
We look back at the man who influenced generations of ""true believers""...'… https://t.co/ULYxn0Xr7N"	2018-11-28 14:51:09	Twitter Web Client	0	0
266	The devil is a liar. Barely a month ago we lost Stan Lee. And now it's Stephen Hillenburg, creator of our all time… https://t.co/6Q4VYr8V5D	2018-11-28 14:50:58	Twitter for Android	2	1
267	@_Glen_Coco Its only been a week since Stan Lee now this you know 😞	2018-11-28 14:49:37	Twitter for iPhone	2	0
268	UGHHH THIS SONG MAKES IT MORE EMOTIONAL!!! Possibly a top 3 moment in my books when it comes to spongebob. Stan Lee… https://t.co/FMOS85rcsx	2018-11-28 14:48:57	Twitter for iPhone	0	0
269	Im gonna keep talking about how good #IntoTheSpiderVerse is cause it really deserves to do billion dollar numbers… https://t.co/fy94B5Y7fl	2018-11-28 14:48:50	TweetDeck	12	10
270	"2018 so far

Aviciia died
Aretha died
Stan Lee died
Xx died
Stephan Hillenburg died
Young Busco died
Tekashi in jail"	2018-11-28 14:48:33	Twitter Web Client	0	0
271	Stan Lee Was Reportedly Cremated, Cause of Death Revealed https://t.co/NcrpOFptbF https://t.co/ovn9XVcXUh	2018-11-28 14:48:29	Hootsuite Inc.	6	3
272	@Nolimit_glory @Saint_Dallas How so? I mean Stan Lee can’t die twice...	2018-11-28 14:48:17	Twitter for iPhone	0	0
273	that stan lee cameo in ralph breaks the internet fucked me up 😢	2018-11-28 14:48:02	Twitter for Android	0	0
274	First Mac Miller, then Stan Lee, and now Stephen Hillenburg. I can't handle any more! 😭	2018-11-28 14:47:26	Twitter for Android	1	0
275	I liked a @YouTube video https://t.co/mdyklG9ECN STAN LEE NESTING DOLL Painting: Matryoshka Tribute!	2018-11-28 14:47:17	Google	0	0
276	Imagine having a childhood without Stan Lee and Stephen Hillenburg	2018-11-28 14:47:05	Twitter for iPhone	2	0
277	I miss Stan Lee :(	2018-11-28 14:46:18	Twitter for iPhone	0	0
278	@ComicGeekSpeak Always cool to see the band together..! Enjoyed your recent Comics Cornucopia episode and Stan Lee tribute. 👍	2018-11-28 14:46:03	Twitter for iPhone	0	0
279	the hymn of death is out!!!! we stan lee jongsuk!!!!	2018-11-28 14:45:59	Twitter for iPhone	0	0
280	In loving memory, please say hi to Stan lee 💗 https://t.co/mA1xqqmvVQ	2018-11-28 14:45:53	Twitter for iPhone	0	0
281	"**LATEST POST**  5 Memorable (and Useful)  Stan Lee Quotes

https://t.co/APUPRENO5p

#business #advice #foundr… https://t.co/NMZjuEorY9"	2018-11-28 14:45:13	Crowdfire - Go Big	0	0
282	What #Entrepreneurs Can Learn From Marvel Master Stan Lee https://t.co/0cAJgjDQ6m #Entrepreneur #entrepreneurlife… https://t.co/Tdmj1H07Nh	2018-11-28 14:45:04	Buffer	2	0
283	Jim Henson vs Stan Lee.  Epic Rap Battles of History.  Season 4 https://t.co/Q4WXW8zRFW via @YouTube	2018-11-28 14:44:09	Twitter for iPhone	0	0
284	Is there any special acknowledgement or In Memory of Stan Lee on Into The Spiderverse given it is the first release… https://t.co/n54V6LT9yw	2018-11-28 14:43:52	Twitterrific for iOS	55	5
285	First Stan Lee, then Stephen Hillenburg. Its been a hell of a year	2018-11-28 14:43:38	Twitter for iPhone	0	0
286	My husband showed me this last night. It's so sad. Spongebob when it first aired was hilarious. You watch these peo… https://t.co/TMGcVDrEPs	2018-11-28 14:43:31	Twitter for Android	1	0
287	Stan Lee created Iron Man as a challenge to create a character no one should like and force people to like him.	2018-11-28 14:42:21	Vemshnub Tweeter	0	0
288	November 2018... We lost Stan Lee and two weeks later, we lost Stephen Hillenburg, two of the world's finest cartoonists...	2018-11-28 14:42:00	Twitter Web Client	0	0
289	@LeslieWeegee none of these people are of the same caliber as Stan Lee how dare you	2018-11-28 14:41:41	Twitter for iPhone	0	0
290	I've just posted a new blog: Stan Lee’s Death Certificate Confirms Marvel Comics Legend Had Heart Failure https://t.co/ywTYStx2Ep	2018-11-28 14:41:39	IFTTT	0	0
291	"I just realized that both Stan Lee AND Stephen Hillenburg died in the same month.....
Worst. Month. Ever"	2018-11-28 14:41:23	Twitter for Android	1	0
292	💥NEW EPISODE 💥 Tune in as we discuss Stan Lee, Sabrina, Daredevil S3, Spiderman and much more! Feel free to comment… https://t.co/1E5i4EFUEJ	2018-11-28 14:41:06	Twitter Web Client	2	1
293	"MRW someone says ""it's ridiculous that people are making such a big fuss about Stan Lee or that Spongebob guy"" https://t.co/25VHYxuWO4"	2018-11-28 14:40:20	IFTTT	0	0
294	Stan Lee's cause of death revealed https://t.co/s1VNqw9BvO	2018-11-28 14:39:02	Twitter Web Client	0	0
295	still can't believe my Lee Sung Kyung supported iKON since predebut, i stan a queen and kings 😭😭😭	2018-11-28 14:38:41	Twitter for Android	0	0
296	"SJWs had no problem hyping up Infinity War, Mr Stark (and the ""I don't feel good"" meme) and the character Thanos fr… https://t.co/UoCUOzV1iF"	2018-11-28 14:38:38	Twitter Web Client	0	0
297	"https://t.co/hJv7q6MiYH
The Legacy of Stan Lee!"	2018-11-28 14:38:30	Twitter for Android	0	0
298	"Stan Lee, creator of legendary Marvel comic book superheroes, dies at 95

https://t.co/7tFdxDHEQT"	2018-11-28 14:38:26	Twitter for Android	0	0
299	uwu hes ncts haechan! full name lee donghyuck! hes member of units nct 127 and nct dream and hes a main vocalist!!… https://t.co/wuAshByvn6	2018-11-28 14:37:34	Twitter for iPhone	0	0
300	"No Tears Left to Cry released - Avicci dies
The Light is Coming released - Xxxtentacion dies
Sweetener (album) rele… https://t.co/lHNTDzdQAT"	2018-11-28 14:36:59	Twitter for iPhone	1	0
301	Stan Lee’s Death Certificate Confirms Marvel Comics Legend Had Heart… https://t.co/JYyp3a2Q4e #Cardiff #SouthWales	2018-11-28 14:36:43	Google	0	0
302	Remembering Stan Lee – The Tower https://t.co/ESwGNyRSsV via @cuatower	2018-11-28 14:36:07	Twitter Web Client	1	1
303	What would have the world been like without Stan Lee?  A dark world, indeed.  It's the premise of our new musical p… https://t.co/dtGkVzVXfB	2018-11-28 14:35:03	Hootsuite Inc.	0	0
304	Stan Lee's Cause Of Death Revealed https://t.co/wk62Lg6FgF	2018-11-28 14:34:46	Facebook	0	0
305	Officialy Statement On The Cause Of Stan Lee’s Death Released https://t.co/r7JEOy7SSe https://t.co/Iotd7QRXXV	2018-11-28 14:34:16	WordPress.com	2	1
306	Officialy Statement On The Cause Of Stan Lee’s Death Released https://t.co/Z51BFH4Fds https://t.co/gsR4tW5ZLm	2018-11-28 14:34:13	WordPress.com	0	0
307	Officialy Statement On The Cause Of Stan Lee’s Death Released https://t.co/E0vaalRi2s https://t.co/NoqblYyZHB	2018-11-28 14:34:11	WordPress.com	0	0
308	Officialy Statement On The Cause Of Stan Lee’s Death Released https://t.co/mS0MSPQ2PV https://t.co/402qVIIgSH	2018-11-28 14:34:08	WordPress.com	0	0
309	Officialy Statement On The Cause Of Stan Lee’s Death Released https://t.co/4WJLY1u6Iq https://t.co/QMXH7D3lSo	2018-11-28 14:34:03	WordPress.com	0	0
310	Stan Lee's cause has been confirmed as heart failure. https://t.co/DEkSqIhojE	2018-11-28 14:34:00	Twitter Lite	0	0
311	lee da hee and chungha have a high taste. we stan	2018-11-28 14:33:36	Twitter for Android	0	0
312	"646 - Stan Lee: Excelsior! #nerdcast 
https://t.co/ReTTbxR11y via @PodcastAddict https://t.co/DwgdiSUTBj"	2018-11-28 14:33:30	Podcast - Radio Addict	0	0
313	How Stan Lee died...  https://t.co/OWmOi86S6H	2018-11-28 14:33:10	Twitter Web Client	1	0
314	@Cannabis_Promos Stan Lee	2018-11-28 14:31:31	Twitter for Android	1	0
315	@MattGertz @owillis Damn. Even I know Superman is DC Comics not Marvel where Stan Lee spent his most of his career.	2018-11-28 14:31:29	Twitter for Android	0	0
316	I liked a @YouTube video https://t.co/MPJ4Kn49fE STAN LEE EN 3 MINUTOS O MENOS	2018-11-28 14:30:50	Google	0	0
317	STAN LEE - SPIDERMAN - MARVEL - Autographed 8 x 10 Photo w/COA https://t.co/B65sG5HXjD	2018-11-28 14:30:31	Buffer	0	0
318	Stan Lee worked for Marvel. The founder was Martin Goodman. But whether you meant Stan Lee or not, you are right. https://t.co/zPt33s5ddu	2018-11-28 14:30:28	Twitter for iPhone	0	0
319	The Top 5 BEST Marvel Movies | Was Stan Lee ahead of his time? JLATop5 @Abwon @SaunidNicolas @MessiahJuni… https://t.co/iBWa2M1MH1	2018-11-28 14:30:09	Hootsuite Inc.	6	0
320	ICYMI: Stan Lee's cause of death has now been revealed. #StanLee https://t.co/Kqt4oFCirR	2018-11-28 14:30:01	Buffer	9	2
321	I took a nap in September, woke up to see Mac Miller died. Took another nap in November, woke up to read about Stan… https://t.co/2YmXhnWMLG	2018-11-28 14:29:59	Twitter for iPhone	3	0
322	"@JulietteElton Tragic as it was, Stan Lee had at least lived a long life. 
Hillenberg was only 57."	2018-11-28 14:27:53	Twitter Web Client	1	0
323	XXXTentacion, Aretha Franklin, Vic Damone, Stan Lee, Winnie Mandela, Avicii, Verne Troyer, Mac Miller, Anthony Bour… https://t.co/7RSKDEWKlD	2018-11-28 14:27:36	Twitter Web Client	1	2
324	"i hate it when life punches me when i realized these people died:
-Stephen Hillenburg (Creator of Spongebob)
- Stan… https://t.co/nmHKZ3YvTw"	2018-11-28 14:27:13	Twitter Web Client	2	0
325	First Stan lee now the man that made childhood😢 #thankyouforspongebob	2018-11-28 14:26:40	Twitter for iPhone	0	0
326	stan lee was deadass like 100 https://t.co/lhE2pdbMBk	2018-11-28 14:25:21	Twitter for iPhone	0	0
327	"Stan Lee
Steve Ditko
Stephen Hillenberg 

2018 has taken a huge toll"	2018-11-28 14:25:19	Twitter for Android	0	0
328	@MSEDollyp Haven't heard about Bosch.  We finished Stan Lee's Lucky Man recently that was good.  We've been looking… https://t.co/TsCVlKjPF7	2018-11-28 14:24:58	Twitter Web Client	0	0
329	Stephen Hillenburg &amp; Stan Lee in the same year? Wow😓	2018-11-28 14:24:45	Twitter for iPhone	1	0
330	@differengenera Stan Lee is up there with Eminem as an all-time great Black Man	2018-11-28 14:24:02	Twitter Web Client	2	2
331	"All the greatest creators of our time have passed.                                                     

Stan Lee -… https://t.co/W196CTjqnc"	2018-11-28 14:23:57	Twitter for iPhone	5	2
332	"In Honor of these great legends I decide to make an Edit of them❤ May they Rest In Peace🙏😢😭
Stephen Hillenburg 11/2… https://t.co/zHC7FoxU79"	2018-11-28 14:23:33	Twitter for Android	2	0
333	@Jammin1015 Bernardo buchinni and stan lee	2018-11-28 14:22:38	Twitter for Android	0	0
334	McGraw-Hill Building -comic book style!  Stan Lee started at Timely Comics here in 1939.  Created for Stan Lee web… https://t.co/KDfJjADZTC	2018-11-28 14:21:10	Crowdfire - Go Big	0	0
335	Wolverine #1 by Marvel Comics - Stan Lee, £1,000 https://t.co/fVS316Yj7z #Stalybridge #Fineart https://t.co/Sc2AS3C4y4	2018-11-28 14:20:22	HawthornGallery	1	0
336	"I have a few original comic books made by Stan Lee in my possession. They're older than me so... 🤑

#RIPStanLee 🕸 #comicbooks"	2018-11-28 14:19:41	Twitter for Android	0	0
337	@Nickelodeon First Stan Lee and now Stephen Hillenberg?! Help me I'm dying https://t.co/6iDvaSiRZG	2018-11-28 14:18:56	Twitter Web Client	1	0
338	@matttomic I truly believe the big cow is the lastest superhero that Stan Lee gave us before he passed.	2018-11-28 14:18:07	Twitter Web Client	0	0
339	This is one of the many reasons why I love him to bits and stan him! The way he appreciates his fans and whatever t… https://t.co/EL915uk5mx	2018-11-28 14:17:58	Twitter for Android	16	2
340	"Marvel Legend Stan Lee’s cause of death revealed

https://t.co/QKaNoEDkKV https://t.co/ohI1KlKDxu"	2018-11-28 14:16:48	Twitter for Android	0	0
341	@Shily_Senpai AAAHH OK!! O STAN LEE!?! ELE TA COMENDO HOT DOG AQUI!	2018-11-28 14:16:38	Twitter Web Client	1	0
342	Stan Lee's Cause of Death Was Heart and Respiratory Failure https://t.co/z4JTprOLAS Presented by MusicLinkUp	2018-11-28 14:16:24	IFTTT	0	0
343	How Stan Lee Influenced an Entire Generation of Children and Shaped My Approach to Business https://t.co/Eq44cLE0nI… https://t.co/Bndc0OfJ6e	2018-11-28 14:16:01	Buffer	0	0
344	What childhood dream have you not had the chance to fulfill? — be an astronaut, have a zoo, have a shark, meet Stan… https://t.co/8hQQ7anHmj	2018-11-28 14:15:50	Curious Cat	0	0
345	Stan Lee's Cause of Death Was Heart and Respiratory Failure https://t.co/AB9zwqkMNF Presented by @MusicLinkUp	2018-11-28 14:15:00	TweetDeck	0	0
346	Stan Lee's Cause of Death Was Heart and Respiratory Failure https://t.co/74ccg5u32B Presented by @MusicLinkUp	2018-11-28 14:15:00	TweetDeck	0	0
347	Stan Lee's Cause of Death Was Heart and Respiratory Failure https://t.co/4AZPngCJZG Presented by @MusicLinkUp	2018-11-28 14:15:00	TweetDeck	0	0
348	Stan Lee's Cause of Death Was Heart and Respiratory Failure https://t.co/0EYDxSkLO5 Presented by @MusicLinkUp	2018-11-28 14:15:00	TweetDeck	1	0
349	Stan Lee's Cause of Death Was Heart and Respiratory Failure https://t.co/MXoJAdUnYG Presented by @MusicLinkUp	2018-11-28 14:15:00	TweetDeck	0	0
350	Stan Lee, not the Bond of 1844 https://t.co/CJz6ZbKP12	2018-11-28 14:14:44	Twitter for Android	0	0
351	"Still not over this. RIP to the creator of Marvel 😥

https://t.co/mKnGspRTBW"	2018-11-28 14:13:11	CX Social	0	0
352	@PrioritizeSleep @CRMartin1992 Literally neither of them say anything about letting death affect them. The YT comme… https://t.co/HFw9NfJmZd	2018-11-28 14:12:31	Twitter for Android	0	0
353	"Apologies in advance if this tweet comes off as mean spirited. 
I hope to everything that's good that somewhere in… https://t.co/pum49k4oes"	2018-11-28 14:11:51	Twitter for Android	0	0
354	"[Repost]
We lost 2 our childhood legends this Year. Thank you for bring the Happiness for Everyone, Rest In Peace S… https://t.co/PorqEy2KXT"	2018-11-28 14:11:32	Instagram	0	0
355	@MiniLaddd So that is Stan lee gone now Stephen Hillenburg, I guess Matt Groening will be next since someone obviou… https://t.co/PWW65pRaX0	2018-11-28 14:11:11	Twitter for Android	0	0
356	@GraceRandolph Coming after Stan Lee's death, this  movie is required viewing.  But it's nice to know it's actually… https://t.co/0jEwZxBncY	2018-11-28 14:10:37	Twitter Lite	5	0
357	I don’t like to compare deaths/lives, but here we go.  The Death of Stephen Hillenburg should be bigger news than Stan Lee 🤷‍♂️	2018-11-28 14:10:28	Twitter for iPhone	5	0
